,Dominant_Topic,Date,Text
659,0,2021-04-26,"...

Drove the Mini e, BMW i3S (we own the regular BMW i3 already) and Peugeot e-208 all in 1 afternoon last summer 2020. Wife was choosing her next car. Was driving an Audi S3 (300bhp+) at the time.

Mini e runs the BMW i3s running gear -181bhp motor (instead of 184bhp in the i3S) but to the front wheels. It is a powerful and fun car to drive but we found the ride too harsh and unsettled overall for our British urban pot holed and bumpy roads but excellent if the tarmac was smooth. As there is so much torque going through the front wheels you get torque steer pretty much all the time on acceleration which the cheeky nature of the car urges you to do all the time! And we test drove on a nice sunny day. Would be worse in the rain.- a big no-no for me. I prefer rear wheel drive (eg-i3) as a result. A pain to get in the back as 3 door only, but once there actually ok for headroom but if you are tall driver rear legroom is going to be an issue. Pretty tiny boot and no frunk as this is based on the ICE Mini platform. Without the sunroof, car will feel claustrophobic and cramped but actually plenty of room for front passengers. Well equipped overall. 
As it is a fun car, the powerful running gear counts against it, as the range will be poor if you drive it in a fun/Mini sort of way. Pretty efficient drivetrain as 7+ years of BMW e-platform experience has gone in to it (much better than the similar battery sized Honda e) but you still have to expect 90-110 miles real world range.

500e has a bigger battery but just felt more modern. Same issues with cramped rear. Not as powerful but more than fast enough and no real torque steer as not as much torque I guess going through the front wheels. 500e rides better also- but close overall.

After driving all 3 last year, wife chose the Peugeot e-208. Liked the looks of it above all else (subjective) but thought the cabin was Audi like in quality and build. Another surprise. After almost 5 months she still absolutely loves it and to be fair I have been very very impressed with it. We both love our sports cars and they should be fun above all else. The e-208 is certainly that. GT model fully loaded with pano sunroof. Seems to better and more fun than the Corsa e which shares it's platform. 

I know you asked about the Mini e but e-208 is proper 5 seater (at a squeeze)- Mini strict 4 seater only and cramped at that. e-208 has a more useful boot. Bigger battery at 50kWh and faster charging speed at up to 100kw (Mini 33kWh battery?-Still only 50kW charge speed). 

500e- 85kW which is fast enough to charge a 40-45kWh battery. 

And the 208 is Europes best selling car, which came as a surprise to us, but not really now we come to think of it. Peugeot 2008, Europes 2nd best selling car to boot! Yes they are both available as petrol, diesel and electric models but they must have done something right to knock the typical Ford Fiesta, Renault Clio or VW Golf off their perches!

If it is between the 500e and Mini I would take the 500e. It is a proper and very modern high quality feeling (la Prima edition sampled only) EV with a decent sized battery and range and good enough charge speeds. If you can live with the smallish boot (very small on the convertible as it has small boot opening also) and cramped rear space. It will be an excellent commuting car as fun also.

Mini e is a converted EV on an ageing platform but then again is tried and tested. BMW/Mini will be releasing a new ground up Mini EV in conjunction with Great Wall Motors of China (I believe) in the coming months.Probably early to mid 2022."
463,0,2022-01-18,"I've posted this before, but it is an illustration as to just how different the true range of all cars, no matter what fuel they use, is from the advertised range. In 2005 I bought a Toyota Prius hybrid, and decided to monitor its performance to see how much more efficient it was when compared to other cars I'd owned.

That car is advertised as having a (extra-urban) range of 668 miles (from the official mpg and the fuel tank capacity). That is a complete joke, the very best I ever managed to get out of it was a range of only 607 miles, and in winter that range dropped massively to only 506 miles.

The thing lost over 160 miles of its advertised range in winter. My wife's Yaris was actually worse, that didn't get as close as the Prius to meeting its advertised range. You will find it's exactly the same for ever other car every sold - the specs never come close to reality.

The issue with EVs is that the range is stated in the WLTP testing, rather than the mpg (which has to be divided into the usable fuel tank capacity to get the range). This means that reviews and advertising for ICE vehicles rarely ever mentions the range. As another example, the first few cars I owned were all Minis. The fuel tank held around 5 gallons and they might manage to get 40mpg if driven carefully. That meant that they had a maximum range of no more than about 200 miles, and in reality the range was a fair bit less than that most of the time."
314,0,2022-05-22,"The Mokka wheels are a big enough pain, there are enough gaps to see how dirty they are inside the wheel but the gaps are too small to easily get in there.
When I bought replacements for the winter tyres I made sure they were a bit more open so cleaning was easier.
In the past I had some similar wheels to the 500e not quite as many spokes but what I found after the first clean which involved ripping up a bed sheet and flossing with it on top of brushing, sponging, buckets and buckets of water and at least 2 different wheel cleaning sprays and even more water was in all honesty just clean them more often.

I have a worx hydroshot and just give the wheels a quick blast once a week.
Depending on the mileage you might need to use one of the colour changing spray on products and a soft paintbrush every other time but at least one in four times its worth getting to the inside edges of the wheels and giving them a good wipe over being careful not to knock the weights about too much.

Or whip a wheel off to do a better job.

Gaz"
168,0,2023-03-10,"Screenwash...
I usually use Preston, the yellow one which I dilute.
It really will look like an old man's dribbles whereas my Mokka looked like a horse taking a leak.
Long story short, I was recommended to use rainX screenwash, now I get smears.
Back to Prestone I guess.
Incidentally I dilute it with water saved from a dehumidifier so it's much better than tap water which I find can cause issues if it's hard water.

Crap at the bottom of the hatch seems to be a thing with modern cars, same problem on my last three cars which is a bit of a pain.

Wiper blades need to be the right size/shape/type for the vehicle but might give, my Mokka had a small spot that was being missed for a period of time but the blade seemed to give a bit with use and all was good. You could buy some better quality blades if the problem persists. Bosch make some decent blades but I'd not worry yet.

Gaz"
414,0,2022-02-04,"I bought this one from Amazon last year which works brilliantly. It has current adjustable from 8 to 10 amps, and a time delay of up to 9 hours for cheap rate times. I recommend it:









K.H.O.N.S. Type 1 EV Charger Smart UK 3 Pin Home Charging Cable EV Charging Cable 8/13A Electric Vehicle Charging Unit 5M with Cable Bag : Amazon.co.uk: Automotive


Buy K.H.O.N.S. Type 1 EV Charger Smart UK 3 Pin Home Charging Cable EV Charging Cable 8/13A Electric Vehicle Charging Unit 5M with Cable Bag at Amazon UK. Free delivery on eligible orders.



www.amazon.co.uk



"
672,0,2020-11-19,"When importing a car from the America to the UK, you can do so completely tax free if you have owned the car for at least six months and have lived outside the EU for over 12 months.

If these criteria don’t apply then cars built in the EU are subject to £50 duty and 20% VAT, based on the amount you paid for the car, with those built outside of the EU coming in at 10% duty and 20% VAT.

Most cars that are over 30 years old will qualify for 5% import VAT and no duty when being imported, providing they haven’t been significantly modified from their original use and are not intended to be your daily driver."
713,0,2020-11-23,"While it would be cool to bring across a Fiat 500e, i think the practicalities would make it more hassle than it's worth:

1. As mentioned, insurance might be an issue and could cost a lot.
2. I believe the vehicle will still need to pass an IVA (Individual Vehicle Approval) prior to being registered in the UK - this is more cost and hassle.
3. Once you have it in the UK, if something goes wrong you might be stuck for quite a while to get parts.

Once you add up all the various expenses, I think you would be better to pick up a second hand Nissan Leaf in the UK - it will probably cost you a lot less in both money and stress!"
472,0,2022-02-16,"...

The indicated range on any EV is only ever an estimate but with most it is an educated estimate in that it adjusts the indicated range based on how the car was driven over the recent past. Many of us call it a ""guestimate"" and the range indicator we often call the ""Guess'o'Meter"" or GoM  Drive the car hard then not only will you get less actual range but from then on the car will assume that it will be driven hard and the estimate will be lower. Drive the car gently for a period and the car assumes more gentle driving for the future and so the estimate will go up. 

Also... the faster you drive the less range you will get so you seeing a drop in indicated range reduction when you drove slower is to be expected."
465,0,2022-01-18,"The indicated range is a fiction. The max range is essentially the usable battery capacity multiplied by the car’s supposed efficiency. So if you can achieve 4 miles/kWh and have a 42kWh battery with 37.3kWh usable, then the range is 149 miles.

4 miles/kWh is pretty good this time of year and you probably won’t manage that. 3.5 is more realistic, so the range is then 130.

to get 199 miles from 37.3 kWh usable means hitting over 5 miles/kWh which is… optimistic. Then again it’s a city car by design so in summer, with very careful driving, you might manage it.

More realistic is just 4.3miles/kWh which gives you the 161 range.

The more I think about it, have they massively cocked up and stated the car’s range based on the full battery capacity rather than the usable capacity?"
704,0,2020-11-19,"Found this advisory suggesting import duties won't be an issue:

""If you have owned the vehicle for at least six months and lived outside of the EU for at least one year (185 consecutive days) and are moving back to the UK permanently, then you will not have to pay any import VAT or duty (which is nice.)In order to prove this we will require proof of US residency from at least one year ago, for example a utility bill, bank / mortgage statement and also proof of vehicle ownership from at least six months ago, for example an insurance certificate or title/registration document """
