,Comment_id,Post_id,Author,Date,Comment_Content,Net_Likes,Reply_id
0,3429483,"0    0
Name: Unnamed: 0, dtype: int64",101047,"May 4, 2023",Shame that they cannot tell us how much more than an Ora Cat it will cost.,0,0.0
1,3429628,"0    0
Name: Unnamed: 0, dtype: int64",85232,"May 4, 2023","Sound good on the reviews I'll be tempted to put an order down to replace my current Mini electric once preorders begin, probably go for the 54kWh model.",0,0.0
2,3429886,"0    0
Name: Unnamed: 0, dtype: int64",35321,"May 4, 2023",Take my money already! Who would buy an Ora cat over this even if twice the price??,0,0.0
3,3429911,"0    0
Name: Unnamed: 0, dtype: int64",101047,"May 4, 2023","...

Its the “same” car",1,3429886.0
4,3429924,"0    0
Name: Unnamed: 0, dtype: int64",35321,"May 4, 2023",Same car! I fail to see any similarity in the heap of Ora junk I've seen on reviews?,0,0.0
5,3429929,"0    0
Name: Unnamed: 0, dtype: int64",27897,"May 4, 2023","...

Didn't read the article then?",0,3429911.0
6,3429999,"0    0
Name: Unnamed: 0, dtype: int64",101047,"May 5, 2023","I did, but read it wrong….apologies…and thank god for that 👍",0,0.0
7,3327856,"1    1
Name: Unnamed: 0, dtype: int64",4134,"Oct 15, 2022","Convertible will move from EU to UK. 
EV production back to UK in 2027. 








2024 Mini Convertible to be built at Oxford plant | Autocar


Oxford factory will make the next-generation convertible, plus EVs from around 2027




www.autocar.co.uk



",0,0.0
8,3327868,"1    1
Name: Unnamed: 0, dtype: int64",92652,"Oct 15, 2022",That's bad news! It's currently taking built cars at least fifteen weeks to reach the UK!,0,0.0
9,3328054,"1    1
Name: Unnamed: 0, dtype: int64",97824,"Oct 16, 2022",It’s the “B” word.,0,0.0
10,3328483,"1    1
Name: Unnamed: 0, dtype: int64",5427,"Oct 17, 2022","...








",0,3328054.0
11,3328514,"1    1
Name: Unnamed: 0, dtype: int64",101047,"Oct 17, 2022","It isn't the B word, but that wont stop the Guardian

BMW miss-read the uptake of the Mini Bev in uk ( too dear, too sort a range)
82% + of the Mini Bevs are exported…..easier to build them in China and export them from there,",1,0.0
12,3328669,"1    1
Name: Unnamed: 0, dtype: int64",101190,"Oct 17, 2022","...

The Guardian article did actually mention Brexit, but only to report that BMW had said “the decision to halt the electric Mini assembly in the UK was not linked to post-Brexit supply constraints and cross-border friction with the EU, or the lack of a nearby gigafactory, but because the Cowley plant was running inefficiently by having to produce electric and petrol cars on the same line.”",0,3328514.0
13,3328688,"1    1
Name: Unnamed: 0, dtype: int64",97412,"Oct 17, 2022","...

Really more efficient to build in China and export to the EU? Doubt it very much however if their biggest market is China who are huge buyers of electric then undoubtedly it will be more efficient for cars destined for China.
Seems to me the whole issue now with the U.K. is the lack of investment in the essential infrastructure like gigwatt factories (thinking of the difficulties of Britishvolt and the loss of the Tesla factory) where it is starting to fall seriously behind plus the self imposed barriers of exporting to a large market. I doubt very much BMW will return electric cars to the U.K. and this is a sad and worrying decision for the U.K. industry. Everyone is scrabbling to attract investment to their countries and bring production home sadly the U.K. has no own home owned mass producer of cars. All the big players are owned by companies not ultimately based in the U.K., Nissan is Japanese, Jaguar LandRover are Indian, Stelliantos are French, BMW german all being enticed to go elsewhere or bring production to their home markets as in the case of Stelliantos.








Stellantis va produire 12 modèles électriques en France


Parmi les nouveaux modèles électriques que Stellantis assemblera en France, il y a une majorité de Peugeot.




www.automobile-propre.com



",1,3328514.0
14,3393311,"1    1
Name: Unnamed: 0, dtype: int64",115352,"Feb 23, 2023","...

I am afraid it is. The EU charges 10% import tariffs on Chinese cars. The other way around, it is 25% btw. Plus those Minis are cheaper to produce in China. Think of lower wages and lower energy costs (cheaper gas and oil from Russia). Plus BMW expects to sell more of its German-built luxury cars to the Chinese.",0,3328688.0
15,3393387,"1    1
Name: Unnamed: 0, dtype: int64",97412,"Feb 23, 2023",Wonder if the EU will up the tariffs to match the Chinese? Tesla are of course now building in China and exporting into Europe. For my part I will not buy a car made in China. I am already struggling with the thought that the EQE SUV which is the only current choice to replace my EQC is build in the states. It is enough to make me choose the EQE saloon but the cars form really does not work for my needs boot size wise and is incredibly frustrating with it’s lack of towing ability (750kg only) with a trade off between a towbar (needed for my porte velo and remorque ) and a pan o roof.,0,0.0
16,3425233,"1    1
Name: Unnamed: 0, dtype: int64",85590,"Apr 25, 2023","







Oxford to build new Mini Electric from 2023


Everything you need to know about Mini's electric plans: upcoming EVs, future product strategy and why the battery-powered Minis will be built in Oxford



www.carmagazine.co.uk



",0,0.0
17,3425257,"1    1
Name: Unnamed: 0, dtype: int64",101047,"Apr 25, 2023","Seems ,yes, it will be built in UK.

( not reported in the Guardian…..obvs)",0,0.0
18,3425259,"1    1
Name: Unnamed: 0, dtype: int64",97412,"Apr 25, 2023","...

Interesting read, maybe the need to reshore back in Europe for the europe market is focusing minds, though being outside the EU single market may make the future for the U.K. a tad more difficult but this at least gives Mini a chance to see if they can mitigate the extra costs and frictions concerned.",0,3425233.0
19,3425314,"1    1
Name: Unnamed: 0, dtype: int64",85590,"Apr 25, 2023",I believe it is more about US tariffs on Chinese built cars,0,0.0
20,3425326,"1    1
Name: Unnamed: 0, dtype: int64",97412,"Apr 25, 2023","...

Now that is an interesting thought as of course the UK could be used to feed that market sans problem and maybe other EU factories feed the EU market or the price of the UK doing so is mitigated by the saving re the states.
As ever always lots of factors in the decision making.",0,3425314.0
21,3415748,"2    2
Name: Unnamed: 0, dtype: int64",5825,"Apr 7, 2023","What do you have as a chargepoint? Some have the ability to advertise low values, others can monitor the house export.",2,0.0
22,3415763,"2    2
Name: Unnamed: 0, dtype: int64",1827,"Apr 7, 2023","I've got a very dumb 32a charger.
Tesla I can set amps to wherever I want, mini just seems to have 3 settings and none go down very low.",0,0.0
23,3415765,"2    2
Name: Unnamed: 0, dtype: int64",29449,"Apr 7, 2023","...

Slower charging introduces inefficiency, losses within the on board charger. It can be done by fiddling with the controller in your wall box. Introducing a different resistance into the signal circuit.",1,0.0
24,3415783,"2    2
Name: Unnamed: 0, dtype: int64",5825,"Apr 7, 2023","The tesla is unusual, most seem to just charge at which ever is lower - the cable or the maximum advertised by the chargepoint. cables are 16 or 32 amp,.there is no simple cheap solution. I went the Zappi route when the PV was installed, not a cheap option and will take forever to recoup the cost  however it works ",1,0.0
25,3415798,"2    2
Name: Unnamed: 0, dtype: int64",100136,"Apr 7, 2023","The wallbox pulsar plus allows you to select between 6a and 32a on the fly so you're able to crank it up if the sun came out or turn it down when you want some ukulele and George Formby grilling.

Gaz",1,0.0
26,3415806,"2    2
Name: Unnamed: 0, dtype: int64",1827,"Apr 7, 2023","I guess I'm just so used to Tesla that when I plug the wife's car in, it's like going back generations of hardware. :-/",0,0.0
27,3235182,"4    4
Name: Unnamed: 0, dtype: int64",2680,"May 2, 2022",I think that’s very unlikely. Everything I’ve seen suggests a 2023 release.,1,0.0
28,3235204,"4    4
Name: Unnamed: 0, dtype: int64",101047,"May 2, 2022","50 kWh version a likely option, but I agree that 2023 ( end of) before you could get one

Suspect they will be focused on the Renault 5 as a rival",0,0.0
29,3235275,"4    4
Name: Unnamed: 0, dtype: int64",5863,"May 2, 2022","Looks like there will be two battery options 40kwh and 50 kWh. Plus two choices of motor, 165bhp and 200bhp. Cars will get a HUD as standard.This info was from a YouTube tester (German) who recently drove a pre production electric Mini. I was intending on waiting for the new Mini but have now decided to buy a used Model S instead.",0,0.0
30,3235316,"4    4
Name: Unnamed: 0, dtype: int64",2680,"May 2, 2022","I had considered waiting for the new one. Then I saw what it looked like from the back and broke the habit of a lifetime and ordered a car at the end of its run. I think the current one is pretty perfect, excessive union jacks aside. Unless they can take a lot of weight out of the next generation to counter the bigger battery (which of course should be possible in a ground-up EV) it may not be as much fun either.",0,0.0
31,3235326,"4    4
Name: Unnamed: 0, dtype: int64",5863,"May 2, 2022","I really enjoyed driving the Mini E. My local Mini dealer lent me one for 24 hours. Superb handling,really quick,plus great build quality. I was thinking about waiting for the new model but have come to the conclusion that my ultimate aim would always be to own a Tesla. Spotted a 2016 facelift Model S 75D on Tesla’s used inventory listing on Friday,at a good price £34,000, and immediately pressed the reserve tab.",0,0.0
32,3235347,"4    4
Name: Unnamed: 0, dtype: int64",33841,"May 2, 2022",It is definitely not the launch of the new MINI.,0,0.0
33,3235403,"4    4
Name: Unnamed: 0, dtype: int64",2680,"May 2, 2022","...

I’m sure the Tesla will be great, but they’re about as far apart on the EV spectrum as you can get!",0,3235326.0
34,3235425,"4    4
Name: Unnamed: 0, dtype: int64",5863,"May 2, 2022",I had £36k burning in my bank account allocated for a new EV. Either buy something newish like a Mini E or buy a used Tesla. The Tesla won. See my other recent thread on the issue.,1,0.0
35,3235447,"4    4
Name: Unnamed: 0, dtype: int64",101047,"May 2, 2022","...

Let us know how you get on……I think you will be back looking soon 😂",0,3235425.0
36,3255757,"4    4
Name: Unnamed: 0, dtype: int64",81034,"Jun 8, 2022","Given the current lead times perhaps might as well wait for a longer range Mini EV.

Any more news about a new Mini EV?",0,0.0
37,3402997,"4    4
Name: Unnamed: 0, dtype: int64",2680,"Mar 14, 2023","Last I read said the new model wouldn’t launch until June 2024. I was surprised, as I expected it this autumn.",0,0.0
38,3386414,"5    5
Name: Unnamed: 0, dtype: int64",105354,"Feb 11, 2023",I had this same issue with our Volvo. It was solved by forcing the software to reboot. Long press (60 seconds or so)on the home button to force the reboot. Much like a desktop computer. Dont know if the Mini will let you do this but might be worth a look. Does your wallbox allow schedule setting so that it only becomes active and sends power at a certain time?,0,0.0
39,3386419,"5    5
Name: Unnamed: 0, dtype: int64",76248,"Feb 11, 2023","Unless the mini is different, my BMW tries to fully charge by the departure time - by preference it will use off-peak but if it has to start earlier, or finish later to get to 100% it will do that. If you try and set an off-peak charging schedule it also insists on entering a departure time for that reason.

To test this - try setting the departure time to 9am - I suspect it will start at 00:30 but will continue until it is full.

The only way might be using the wallbox to control.

edit - even if the car does not think it needs an immediate charge, I've noticed that it draws power as soon as it is plugged in for about 30s or so - I presume it is testing the charger to see what rate it delivers so that it can calculate the charging time required to be used later.",0,0.0
40,3386421,"5    5
Name: Unnamed: 0, dtype: int64",1827,"Feb 11, 2023","...

The wall box doesn't, it's a dumb charging point. 
No idea how to reboot the car, will see if I can dig out a manual. Thank you.",0,3386414.0
41,3386451,"5    5
Name: Unnamed: 0, dtype: int64",92652,"Feb 11, 2023","All the Mini charging is interested in is getting the battery to 100%. 
No matter what time you set it will charge straight away.
I had the same problem with mine from new. I bought an Ohme charger and just set it to only charge on the Go Faster rate of 5p and that solved it for me. I just plug it in and it charges from 20.30 until 00.30. I'm going to change to Intelligent at the end of March when my fix expires.",0,0.0
42,3357380,"6    6
Name: Unnamed: 0, dtype: int64",92652,"Dec 18, 2022","We're 6.5K miles in and the fronts are still over 5mm and the rears are just under 6mm.
The tyres are Pirelli Cinturato P7s.
We use the Green mode predominantly as it's plenty quick enough in town!",0,0.0
43,3357422,"6    6
Name: Unnamed: 0, dtype: int64",86970,"Dec 18, 2022","...

Thanks. I think the green mode will be key and as you say it is plenty quick enough most of the time. Real pity car does not let you set this as the default mode, rather than having to set each time.",0,3357380.0
44,3357462,"6    6
Name: Unnamed: 0, dtype: int64",92652,"Dec 18, 2022","...

Agreed, it would be good if it stayed as default and you could just turn it up when needed. At least the regen is always on max.
Our other car keeps the mode that you set but you have to set the regen every time you start it!
They are all different.",0,3357422.0
45,2919556,"7    7
Name: Unnamed: 0, dtype: int64",3830,"Nov 15, 2020",Why not just ask Ohme if they have any customers using their kit with a Mini EV. And if it turns out that you'd be the first (which seems unlikely) ask them for a guarantee that you can return it if it doesn't work,1,0.0
46,2920191,"7    7
Name: Unnamed: 0, dtype: int64",85232,"Nov 17, 2020","...

Worked fine on my Mini electric when I set a delayed charge on my charger.",1,0.0
47,2950680,"7    7
Name: Unnamed: 0, dtype: int64",85590,"Jan 17, 2021","Does anyone know if the Ohme has access to the MINI Electric API so that it can see the state of the battery during the charging, rather that trying to guesstimate it. 

I have just started using a 32A Ohme smart wall-box and when I chose the ""connect to car"" option in the Ohme app, I get messages that say ""connected to car"" and ""nice Mini!"" but the Ohme app does not show me the state of charge in the car battery, which should be essential for any smart scheme that is claiming to keep to specific minimum battery charge status.

I was not asked for any API key, so I am suspecting that this connection was not actually made.

When the batter is getting full, the Ohme app sends messages that the power has reduced and that the battery ""may be full""..

Does the type 2 AC charging interface allow the EVSE to see the battery charge level or is that only a feature of DC fast charging?",0,0.0
48,2950708,"7    7
Name: Unnamed: 0, dtype: int64",78384,"Jan 17, 2021","...

The Type 2 connection won't allow the Ohme to read the car's state of charge. The only route to do this is by Ohme accessing the car online, and only some cars are currently set up to do this. Sounds like the Mini isn't one of them. There's a list of supported vehicles at Ohme's website. May be worth emailing them to ask if or when yours will be supported, they are generally quite responsive...although no guarantee that it will happen.",1,2950680.0
49,2950842,"7    7
Name: Unnamed: 0, dtype: int64",93051,"Jan 17, 2021","...


Hi

I had my Ohme charger installed last week and there is no API link between it and the Mini at the moment. It would be worth contacting them to lobby for them to add the Mini.

I'm now on Octopus Go. I have connected this tariff to the Ohme and set a cap of 5p per kwhr so it only charges between 00:30 and 04:30. I set the Ohme schedule to add 75 miles and just plug it in and forget about it. The charging does normally stop before the 75 miles is added as the battery is full. The Mini is able to start charging when the Ohme schedule kicks in, so largely working ok. 

Cheers

Paddy",1,2950680.0
50,2951252,"7    7
Name: Unnamed: 0, dtype: int64",85590,"Jan 18, 2021","...


I received the following reply from Ohme today:

""Hi Steve,

Thanks for getting in touch.

We are not yet integrated with the MINI API, but our Dev Team are working on it.

You will still be able to benefit from all of Ohme's smart charging capabilities but without API support, using Ohme is slightly different. Instead of using Charge Schedules to specify what state of charge you would like the battery to be in at the end of the charge session, you will need to create Charge Schedules that specify how many miles you would like to add to the current range. So if your weekday commute is 50 miles, then you could create a Charge Schedule which says “add 50 miles range by 7am on weekdays”.

When using Ohme without an API, it is quite common for the car to become “full” halfway through a charge session, and Ohme may send an alert to tell you that the car is not charging as expected.



Best wishes,
Lily

Lily Christoforou
[email protected] | """,0,2950842.0
51,3244552,"7    7
Name: Unnamed: 0, dtype: int64",85590,"May 18, 2022","After over a year of waiting, I had a message from Ohme telling me that the Ohme charger now has integration with the Mini API working.

""It's the announcement you've all been waiting for... MINI integration is now live!
Head to 'Manage my EV' to re-select your car and connect your MINI account. 
This will allow Ohme access to your car's state of charge for more precise charging""

My Ohme app now shows my SoC live !









This should hopefully allow me to set a battery SoC percentage target next time rather than guessing how many miles range to add and unnecessarily charging to 100% each time.

Obviously I am not still on Agile but on Go! ;-)",1,0.0
52,3290715,"7    7
Name: Unnamed: 0, dtype: int64",107199,"Aug 6, 2022","I can confirm that the Intelligent Octopus tariff does indeed work with our Mini. We switched to Octopus at the beginning of this month and after our smart meter connected to them we were able to run a test charge through the Ohme charger. I spoke to them about moving to Intelligent and it’s happened this morning. Rate is fixed for 12 months at 40/7.5p which, in the scheme of things, seems quite reasonable now!",0,0.0
53,3282417,"8    8
Name: Unnamed: 0, dtype: int64",104153,"Jul 21, 2022","Is it fairly level across all wheels? Do any wheels feel hot after normal driving?

If not it's probably just down to the compound they're using in the pads, I'm assuming it's showing what you'd expect for regenerative braking. Does it have a B mode (extra regen/one pedal driving) if so try this for a few weeks after cleaning and see if there's much difference. 

Worst case scenario you can change the pads to something like ebc redstuff which are more ceramic compound and will reduce dust massively, they can wear discs a bit quicker though.",0,0.0
54,3282418,"8    8
Name: Unnamed: 0, dtype: int64",112660,"Jul 21, 2022","Thanks.Its the same accross the wheels, its brand new so I assume all are OEM parts from Mini. I drive in eco mode, use the strongest setting of regeneration and pretty much one pedal driving (London traffic most of time).",0,0.0
55,3282469,"8    8
Name: Unnamed: 0, dtype: int64",104153,"Jul 21, 2022","Not sure then, either there's a fault or more likely just the pad material. Maybe speak to the dealer for advice and if they don't find any faults then suggest changing the pads for ebc redstuff. They will probably try to put you off, and it might invalidate any warranty as far as the brakes go, but they don't usually cover discs and pads regardless.",0,0.0
56,3282474,"8    8
Name: Unnamed: 0, dtype: int64",83879,"Jul 21, 2022",Could you try waxing the wheels after thorough cleaning? That might at least make it easier to remove.,0,0.0
