,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
0,First drive: 2023 Mini Cooper Electric prototype review,85590,"May 3, 2023","







First drive: 2023 Mini Cooper Electric prototype review | Autocar


A full decade since the last all-new Mini hatch comes the most radical yet, with a new design and platform, plus EV power




www.autocar.co.uk



",7.0,1,597
1,BMW moving production of the BEV Mini to GWM in China for next model,115098,"Oct 15, 2022","Finally BMW have admitted that they are moving production of the BEV version of the Mini to China (GWM) for the next model. Obviously this is all the Government's fault ....

BMW to axe UK production of electric Mini and relocate to China",14.0,0,2053
2,How to set charge at at <16amp,1827,"Apr 7, 2023","Any way to adjust the mini to charge at <16amp?
I've set to low in the car, and the app says it's going at 16amp, which also matches the meter.

I'm trying to drop down to 6 amp or so,so I'm only charging off solar.",6.0,0,499
3,Countryman ECU software update,14321,"Mar 23, 2023","I have one of the first countryman PHEVs, the first model with the smaller battery. I have done around 75,000 miles and a warning popped up ""drivetrain fault"", sounded serious. I took it to Mini who said it just needed an ECU software update, nothing wrong with drivetrain, and wanted £220 to do it. Anyone else come across this?",0.0,0,403
4,Possible UK launch of new Mini….,5863,"Apr 24, 2022","Just had a 24 hour test drive of the Mini E. Really enjoyed driving the car but for me the range might be a tad limiting. I was speaking to one of the salesman and he stated there was a private Mini event at Donnington for UK dealers next month in May. He, the salesman, had no clear idea what the format of the event would be. In my view a possible launch event for the new Mini. That would tie up with a June public launch that I have also heard about. Does anyone have any more definitive news ?",11.0,0,3404
5,Charging plan is being ignored,1827,"Feb 11, 2023","Car is currently at 56% charged.
Charging plan is set to delayed, starting at 00:30 to 04:30, every day.

Departure time set to 04:29.

Plugging in the car, immediately starts charging. Status in the app says that it's not charging, but I can see from the IHD that it's sucking 7kW.

Unplug, replug, no difference. Turn on next time only, send to car, no difference.
Grr. Grr.

Any suggestions?",4.0,0,745
6,Tyre life,86970,"Dec 18, 2022","Out of interest what sort of mileage are people seeing on their Mini Electric tyres?

Running on default Ventus S1 Evo 205/45R17 88W rubber and at around 8,300 miles I would say the fronts are not far off needing to be changed.

I used to drive in default mode and found this did spin wheels a lot when turning, so I have started driving in Green mode most of the time and this has stoped this and also keeps my speed down.",3.0,0,1109
7,Mini Electric and Octopus Agile,93051,"Nov 15, 2020","Hi all

I am new to both this forum and EVs in general. My Mini Electric arrived last Wednesday and am loving it so far. I have been charging using the dealer-supplied 3 pin cable so far, with the current lock down I'm not exactly going very far at the moment.

I am moving my energy provider to Octopus Agile to take advantage of their variable pricing. I'm planning to get an OHME smart charger which should be able to delay charging to match the lower Agile tariff periods.

Does the Mini support delayed charging managed by a smart charger? I've read that some cars like the MG go to sleep so won't charge when the current becomes available. My thinking is to set the Mini to Charge Immediately and manage the schedule through the OHME app - is that the best approach?

Thanks in advance for any info.",8.0,0,5194
8,So much brake dust!!!,112660,"Jul 21, 2022","For some years I had an i3 and then an i3s and used the regen braking all the time. This kept brake dust to an absolute minimum. I now have a Mini E (level 3) and despite it being based on the i3 and me driving in the same way, the amount of brake dust is really high. Anyone else have this issue or know whats going on? Its driving me nuts as I like the car to look clean.",7.0,0,1852
9,L1 order has been cancelled by BMW !,108386,"May 9, 2022",ordered Level 1 mini 5 weeks ago. Delviery was due Sept. Just taken a call from the leasing company to say I won't be getting it as BMW have now removed the L1 from the range. Good luck to anyone else who's waiting for one 🤬,21.0,0,4781
10,Mode choices for best fuel efficiency,77958,"Mar 31, 2019","How do people go about maximising fuel efficiency while saving battery? 

In Auto Edrive the car is very economical but runs out of battery very fast.
Running Save mode yields about 38 mpg in average in my experience.

I read of the BMW hybrid that running sport mode while the battery is above 55% does not charge the battery. it has yielded mid economy in the mid forties in my experience. Problem is you need to use manual gear shift or it will hold gears too long.

What do you do when you have either a long trip or lack the ability to charge for a period of time?

Thank you.",13.0,0,3876
