,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
0,Peugeot SatNav Questions,121771,"May 30, 2023","1. Is it possible to store my current satnav location as a destination? 

I have this in my ICE car and it's useful when somewhere I visit regularly isn't in the map database. Our gym, for example, isn't listed and when I park there, the location is called the local school sports hall, which is nearby. 

2. Am I the only one where importing contacts results in meaningless addresses?

I think it's a French thing - '18 Shaftsbury Road, Brighton' turns into '18 Brighton Road, Shaftsbury'. ALl my contacts are similaraly mangled. Is there any way to import/set the addresses properly?",0.0,0,173
1,Peugeot e208 wait times,105960,"Feb 16, 2022","Hi all,

I ordered my Peugeot e208 in December 2021 - wondering if anyone knows of wait times? I know its only been a couple of months but just excited to not have to put fuel in my current car!

Any help would be great 

Thanks!",23.0,0,3699
2,Peugeot E-208 charging issue,98425,"Dec 17, 2021","Hi. I just wanted to let people know about an emerging charging issue with E-208. I have struggled to find information about it online.

I'm somewhat an expert now because I have had a 69 plate E208 and a 20 plate E208 which have both had the same fault.

Both occured around 10-12k miles. The car would be plugged in and would sometimes charge fully, other times it would only charge for 10 mins and other times it would charge for 2hrs. It's very unpredictable.

When charging stops the app will show 'Charge interrupted' and the car will have the white light near the charger, showing it knows the car is plugged in but isn't charging (when charging it flashes green)

If you unplug the charger and plug it back in it will start to charge again.

Peugeot will tell you it's your car charger that's faulty.

However on both of my Cars it's the 'CHARGE UNIT' which has broken. Both have been replaced under the 8 year warranty costing Peugeot around £8,000 each time.

It's a huge inconvenience and very annoying to have had it twice. There is a blog on here which is titled something like 'Peugeot E208 podpoint problem', however I can now report it's not podpoint to blame.

Anyway it's just something to look out for and suggest that your dealership check if you have the same issue, because my dealer couldn't find the fault for ages. If you point them in this direction it may make your life easier

Also make a complaint to Peugeot so they know this issue is occuring, the other blogger got £500 voucher for his troubles, my complaint is still open at time of writing.

Anyway best of luck with your cars, keep the faith (at least it's a decent warranty)",51.0,1,26384
3,Peugeot E-208 and wallbox (wallbox.com),106813,"May 4, 2022","Hi everyone!

I'm an owner of a Peugeot E-208 for about a year and I've been always able to charge the car using the schedule function of my wallbox (wallbox.com).
I have it set for some time frames that differ from weekday vs weekend and normally when arrive at home I just plug the cable and wait for the schedule to start.

Last month the car had his first revision and Peugeot told me that there was the need to upgrade the internal charger firmware as a new version was available, and since then, the schedule function of the wallbox do not work. When it reaches the schedule the wallbox goes to the status ""Waiting for car demand"" and stays like that all night. Tonight I have made a discovery, after the schedule start, if I press the refresh button on the Peugeot app the car starts to charge. This might be because by clicking the button the car awakes.

This totally defeats the purpose of having the schedule if I need to manually press a button in the middle of the night to start the charge.

Does anyone having a Peugeot E-208 can relate to this? Is there any known solution for this?

Thank you all in advance,

Bruno",27.0,0,4213
4,Peugeot e-Traveller Electric Van,2505,"Jun 10, 2020","Now this looks pretty cool:









Peugeot's New 330-Kilometer e-Traveler Electric Van


Peugeot is now offering a new, bigger electric van, the Peugeot e-Traveler. There are two battery options for the e-Traveler: 1) 50 kWh, 18 modules, 2) 75 kWh, 27 modules. The latter offers a range of 330 km (205 miles), according to the WLTP rating system




cleantechnica.com





Based on the e208/e2008 platform and comes with either a 50 kWh or 75 kWh battery.

I wonder what the price will be...",9.0,0,1553
5,Peugeot iOn battery state,107477,"Mar 22, 2022","Hi guys.
I recently bought a used 2011 Peugeot iOn with 25K Kms on it (now it's closer to 30K since I have it). Yesterday I bought a bluetooth obd to measure the battery state and it reads 36.7Ah... now I know theoretically when new, the battery should be 48Ah, I doubt this value its real, but if it is it means my battery lost about 23% over the years.
What do you guys think, is this an acceptable value for a 11year 30K Km car or I should be concerned?

Btw the measurements where taken from caniOn152 with a obdlink lx.",9.0,0,2466
6,Peugeot Ion Airbag Light / Diagnostics,77360,"Oct 11, 2019","Hi all,

The airbag light is permanently on in my 2011 Peugeot Ion and it needs an MOT. I have checked with Peugeot for any recalls and there are none (some 2011 i-miev had airbag sensor recalls but seems not for my Ion). A garage had disconnected the passenger seat airbag connector to get to the master fuse, and this may be what has put it on. I understand that airbag errors stay on until reset. I have an iCarSoft i970 diagnostics reader but it says that it cannot communicate with the airbag system.

Does anyone else have an i970 and if so can it talk to your airbag system? When I do the automatic scan it doesn't list airbags, then if you go to manual select and choose airbag system it then says it can't communicate.

The car also doesnt really seem to like the i970, it makes the dash go a bit crazy ! Is there a better reasonably priced diagnostics reader for the Ion? I have CanIon which is great but looking for something with fault codes. If I can't work it out then i'll just take it for the MOT and see if they can reset it, but would rather work out if I need a new airbag controller before then.

Cheers all !

Gary.",4.0,0,1945
7,Peugeot Partner Electric Van,62,"Jun 21, 2016","Peugeot Partner EV


Model: L1 SE electric 
Transmission: auto
Colour: white
Mileage: 2,175
Registered: may 2014
Owners: 1 Peugeot
Road tax: ZERO !
MOT expires: may 2017
Full Service History: serviced at 1766 miles on 01/09/15 
Repairs: None !

ONLY £9995 plus vat

Description


What a great value 100% Electric van , direct from Peugeot UK and in stock now here on Orkney. Just over 2000 miles and ready for work with the ply lining too.Range is around 80 miles and it can be rapid charged in under 30 minutes.",0.0,1,1791
8,Peugeot Ion Breaking,83716,"Sep 1, 2019","Hi, I am new here and not even sure if I am posting this in the right category?

I have a Peugeot Ion and I am in need of a full interior carpet, is the anyone who can help me please.

Regards
Paul.",3.0,0,794
9,Peugeot e-208 charging speed.,99473,"Jun 18, 2022","I have an EV that can take a maximum of 100 kW charging, the Peugeot e-208.
Got 101 kW today from Ionity. Gotta love that and love the car. Charges so fast, but not compared to much more expensive car of course.

But 101 on a maximum of 100 is really good.







",4.0,2,818
10,Peugeot ION charging problem,28241,"Jun 7, 2017","WE have had a Peugeot ION car since early March, and recently, we have plugged the car in at home (standard charge master home charger) and the car has not charged beyond 14/15 miles. It appears to switch itself off. Then we plug the charger back in and the car recharges in the normal manner. It has recharged as high as 92 miles.

Does anyone have any thoughts about why this is happening, thank you.",5.0,0,3657
11,Peugeot EV servicing,26993,"Feb 13, 2021","Is anyone able to get anything but the pug standard £199 servicing quote from the app?

JJ",3.0,0,1132
12,Peugeot 3008 Hybrid,20825,"Oct 20, 2021",Anyone got one / had one… real life experiences? Good bad or indifferent… range quoted as being up to 39 miles? Is that achievable?,0.0,0,1284
