,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
0,TIGUAN ESTATE 1.4 TSI eHybrid Elegance 5dr DSG,122228,"May 24, 2023","I ordered the TIGUAN ESTATE 1.4 TSI eHybrid Elegance 5dr DSG January 4th 2022, still don't have a build date.

Stuggling to get any information out of Fleet Purchasing.

Just wondering if anyone else has experienced such delays? It's been nearly 18 months!

Thanks",3.0,0,204
1,Heads roll at VW software unit,4218,"May 11, 2023","







VW to fire top executives at software unit Cariad, source says


Carmaker Volkswagen is set to dismiss all but one of the executive board members at its software division Cariad next week to try to resolve development problems, a person familiar with the matter told Reuters on Saturday.




www.reuters.com



",0.0,1,441
2,VW Asset Tracking,5913,"May 4, 2023","Are they really that bad? I've got an ID3 on order, it's been on order since October 21 but that's not the gripe right now.

I've been told the car has been manufactured and has left the factory but beyond that, why is it no one can tell me where my car is? it's somewhere between the factory and the dealership but why can't it be tracked? I can't believe that no one knows where it is, and if someone does know why can't that information be propagated? I've got to assume this isn't a specific ID issue but a VW issue, left hand right hand kinda thing but it is a bit ridiculous that there are £20-£50 k assets 'floating about' which no one has an idea of where they are! Hell I've worked in industries where they can tell you exactly where and how many of the 30p washers are!

Sorry, rant over, but if you have any insight it would be interesting to hear.",0.0,0,292
3,Contacting head office?,60097,"Apr 17, 2023","Long story long, we ordered an ID Buzz when they first became reservable without the huge deposit, and the ETA for it pretty much from the outset was September 2024, which we were fine with. Since then we've decided to move house and are currently in a (short) chain, which is progressing about as quickly as can be expected with these things. Suddenly last week we got an email from the VW dealer saying that our Buzz is built and expected to be with them mid-next month!

Our mortgage advisor has strongly advised us not to take out any new finance until the move is complete, while the dealer is saying they can only hold onto it for 30 days before VW will want to take it back due to high demand. I have no idea whether we'd get our deposit back in this situation, but he implied that we wouldn't.

Rather than just winging it and hoping for the best, I was wondering whether it would be worth contacting head office and explaining the situation to them as I've seen other people have reasonable results when raising issues directly. To which end, does anybody know the best way to go about that?",17.0,0,729
4,Arteon Shooting Brake eHybrid R Line Long Term Review,98270,"Apr 6, 2023","I'm not sure if this is the right place to post, but dipping back into the forum last night prompted me to write a review of the Arteon, now I've had it for 18 months and 35k miles - mods please move if I've posted this in the wrong section!

This has the potential to be an excellent car, but it's been ruined by an outdated and underpowered hybrid powertrain, and the chassis and brakes haven't been adapted for the extra weight of that powertrain...I test drove the 2L petrol, which was a lovely car to drive as I was unable to test the hybrid - we were just coming out of one of the lockdowns when I was shopping around.

To elaborate on the above, it's a big car, and VW tout it as an executive car; on the motorway, it wafts along serenely as it has adaptive dampers, and I opted for the additional noise suppression pack - double glazed front windows and additional noise deadening, along with the nappa leather interior, giving fully adjustable electric seats, so it is a really nice place to be!

All of the above brings the car close to 2 tons, and having a 1.4 turbo petrol developing just over 150bhp and a low 184 ft/lb torque means you really have to work it to make any progress on twisty fast B roads and uphills, which isn't an enjoyable experience - put your foot down to overtake and you're treated to a nasty thrashy engine note, but you don't make any real progress. So why not use GTE mode I hear you say? Well I do, as that doesn't have a major impact on economy, but it would be nice to be able to set the adaptive dampers to something a little softer than rock hard, so I use GTE mode more to make overtaking safer, rather than using it to make driving on a B road more enjoyable; the car's too big and heavy for that, which leads me on to it's chassis and brakes.

It's chassis can't handle the power (really!), and you have to be very careful when exiting a junction in the wet as it just spins it's 245/40/19 wide tyres (and no, I'm no racing driver, I think the tyres are too wide). When I first had it, I went round a tight corner in the wet, which wouldn't have been a problem in my old car and I was a little shocked that the back end slipped out! The lease company fitted all season tyres not long after I got it which improved things, but still doesn't inspire confidence - an electronic slip diff was available as an option, which I wish I'd have specced, but it's not a race car, so why would it need that? In the wet, I genuinely feel safer in my wife's Smart ForTwo, which is fitted Vredestein Qautracs - that car sticks like poop to a blanket in any condition!

The brakes are too small, underpowered and feel wooden. I only ever drive it B mode (regeneration mode) which gives additional assist, but they're still not up to the job - I regularly carry heavy scuba gear, so with two people and our kit, it's easily tips the 2 ton mark. Everyone who drives it for the first time is shocked by the lack of braking, and how they have to adapt to it. It's just developed a fault with the nearside front disc going off-colour, pitted and rusty, and feels like it's warped. At 35k miles, the rear discs are in a right state and have rust all round them. I don't live near the coast, so apart from the very wet weather we've had over the past months, it doesn't live in a harsh environment.

Ongoing problems with driver assist systems and dealer that's washed their hands of it haven't helped the experience...but that's in another thread.

The widely reported and generally disliked capacitive/haptic touch controls on the steering wheel and climate controls panels are awful to use, with constant accidental touches whilst driving causing cruise control settings to change and the heated steering wheel to come on, etc. It was inexcusable for VW to roll this into production as it's dangerous to use it for systems such as cruise control...It's too late for me (and thousands of others), but it's good to see that VW have admitted this was crap and are ditching it in new models.

Traffic sign recognition unreliable and based on data entry on satnav updates - most of the national speed limit roads show as 30mph near me, and I've had the car try to accelerate to 80mph in a tiny village once. On the motorway driving under bridges or past exits it often slows down to that road's speed or tells me a roundabout's coming up so tries to stop the car. It also doesn't adapt to motorway variable speed limits progressively, so slams the anchors on just as you go under a gantry - I wish I'd never specced it, and quickly learned that you shouldn't rely on these driver assist systems. I genuinely think my driving has become worse since owning a car that can almost drive itself! The first thing I do when getting in the car is to disable lane assist as it's far too aggressive and doesn't work particularly well.

Oh, and the infotainment system! Painfully slow to boot up, so you're always waiting to drive off before you can do anything. It often freezes, requiring a hard reboot, and trying to reliably connect an iPhone/CarPlay is just painful - I can say that I had a Skoda Octavia prior to the Arteon and it was just as bad, and I had a brand new T-Roc loan car when it was in for one of it's unsuccessful diagnoses on the assist systems, and it's system froze as soon as I got in the car...It also sounds rubbish, I've found that pushing the fader all the way to the front makes a big improvement as the rear tweeter is nearer to your head than the front so it just sounds weird with the fader set to the middle.

With the seats down, it can fit an awful lot, however as I recently found trying to take an old wardrobe to my parents', even broken down, with it's high bumper lip and low roofline, my wife and I had three attempts at 'Tetris' before we found a solution to get the wardrobe in, so it's not the most practical, but hey, that's the price of such good looks, and I'mnot going to do that very often 

All that said, it's an achingly beautiful car (one of the most beautiful currently on the market, in my opinion), especially in the Kings Red Metallic I went for, and with the optional double glazing/sound-proofing and fully electric Nappa leather seats, it's a wonderful mile muncher on the motorway.

I'm sure the petrol and diesel are wonderful to drive (if it weren't for the company car tax implications, I'd have gone for the 190bhp petrol or AWD diesel), however VW have really missed the mark with the eHybrid and it looks like it's already been discontinued, which, to me, says a lot...18 months into this 5 year sentence, and I'm hoping for early parole (I'm quietly hoping that the new garage can't get to the bottom of the driver assist system problems and the lease company take it back)...My wife doesn't like it, and often asks if we can get my old car back - a Skoda Octavia Vrs 4x4, which we sold to a friend who absolutely loves it!

Thanks for reading,

Nick",3.0,2,433
5,VW ID.2 All,104395,"Mar 15, 2023","VW have revealed their ID.2 ""All"" concept / pre-production(?) car tonight. It looks like it fits sensibly below the ID.3 in size. Supposedly Golf size interior, the length is the same as a Polo. Looks like them too. Battery Life has just released a video based on what they've said.
Apparently they are aiming for €25k starting price, which is good, but I think it's 3 years away, so nothing for anyone to get too excited about yet!




",44.0,4,2613
6,ID1 news,84843,"Mar 16, 2023","Looks like the Polo in EV form!









Volkswagen confirms £17,000 ID 1 as entry-level EV | Autocar


Small EV will be based on an unknown platform and be similar in size to current Polo




www.autocar.co.uk



",7.0,0,757
7,Discover Pro Navigation v 10.4 Update - Very Slow Download,76608,"Sep 24, 2019","Driving a 2017 Passat GTE Advance. 

I am only modestly tech savvy! 

Looking at downloading the latest version of the navigation system. Went online and downloaded the DiscoverCare app. Have been trying to download the Europe maps onto a USB flash drive. The app recognises this. 

A screen opens with ""Download"" and ""Installation"" bars. 

My concern is that when I start downloading it seems incredibly slow! It is estimating in excess of 2 days to do the download. Now I thought our line speed was not the fastest (about 25mbps) but that seems inordinately long. 

Has anyone else had this experience? Wonder what I am doing wrong...

As always any advice e would be very gratefully received.",8.0,0,7594
8,No more grey imports of VW EVs to UAE,118718,"Mar 10, 2023","Gulf News reports that grey imports of Volkswagen EVs are not allowed any more.









UAE steps in to control EV imports by secondhand dealerships, stops all such VW shipments


Ministry of Economy issues diktat VW EVs can only be sold through official dealership




gulfnews.com





I do own one of these unofficial ID.6 -cars here in Dubai. There's still some unsold cars on Dubizzle, so anyone who has been contemplating to buy one should probably hurry up.

Pro


price
quality
big battery
silent
7 seats

Cons


no warranty from Volkswagen
no comprehensive insurance, so you pay for your own mistakes
no sim card
no mobile app
in built navigation does not work
no supercharging as the supercharging port is some China model

However


Apple Car Play
navigation works through Apple Car Play (Google maps, Waze)
type2 and Tesla destination chargers work with a cheap adapter

Royal Swiss Garage offers a very affordable 5 years warranty and service contract with unlimited km. If you're planning on buying a grey car like this, make sure you also get this contract.",0.0,1,278
9,ABT Volkswagen e-transporter charging speed at home,6151,"May 19, 2021","We are running an ABT e-transporter in our business and it is a great van for our local needs.

Just wondered if anyone else owns or runs an ABT e-transporter and is managing to charge it ok at home?
We are managing really well with a 3 pin plug at the moment and have rapid charged it a couple of times. Is anyone else charging the e-transporter on a 7.2kw wallbox at home and what times are you getting.

The reason I am asking is that I have been in contact with VW over the cable that is provided with the van. a 20A cable. My complaint to them is that I would have presumed they would provide a 32A cable seeing as it states the van can charge at 7.2kw/h. They are now digging themselves a hole and have said it won't charge at higher than 3.6kw/h on single phase electricity no matter what cable is used and even with a home charger fitted?!

This sounds a bit of an odd reply and I think I need to test it out on a wallbox charger, but does anyone have experience of this?

thanks",124.0,2,19826
