,Dominant_Topic,Date,Text
2203,0,2017-07-04,"I can confirm that Car-Net App connect refers to connecting to a phone. There are 3 options for this depending on your phone - Apple CarPlay, Android Auto and Mirror-link. I tried Mirror-link but the number of apps was very limited and I did not find it worked very well. However I use Android Auto every day due to the excellent Google Maps.

When you receive a message in Android Auto via SMS, whatsapp or other messaging app you get a bar which appears. Tap on it and it reads it to you, than asks do you want to reply. Say yes and you can dictate the message. It reads it back to you to confirm it is correct, and then you can tell it to send. Very useful for keeping your eyes on the road.

You can ask it to phone or navigate to someone in your contacts by voice which is pretty nice. Waze is coming to Android Auto which should be useful. The other category of apps all relate to music and audio - I use Amazon Music (for my subscription), Smart-audio player (audio books), Beyond Pod (podcasts) and Jet-audio (mp3 collection). Other good options include Google Music, Spotify, Pandora, Tune-in radio, Stitcher and Deezer.

Car-net can actually refer to 2 other things. 
1. The car-net app which allows you to connect remotely via the sim and use the e-manager. (The SIM is not user changeable and the module is hidden away in the car somewhere.) 
2. Car-Net Guide and Inform - extra info on the Discover Pro infotainment if you provide it with a data connection."
2887,0,2014-11-10,"In my Leaf i have experienced 'Tortoise Mode' followed by a flat bed ride to the nearest RC.... 250m away from where we stopped.

On the M4 in Wales heading East, I approached the services that I had planned to hit with 18 miles remaining however the next services was 15 miles away and had 20% remaining so I decided to go for it and test the Leaf. (previously using hypermiling I managed to extend the battery life to over a mile/% right down to the last few percent.

What I didn't take into account is just how many steep hills there are on the M4 in Wales and when I needed a lorry, there wasn't one.

As we got to 6 miles remaining we only had 4 miles to go, however approach the services was a steep hill and half way up, found that the 'Tortoise' appeared and the car suddenly lost power and slowed right down to around 20mph. we just made the brow of the hill, no more than half a mile, before the car cut out altogether. luckily the steering stayed use-able and we free wheeled down the hill off the slip road into the services before coming to a stop about 50m up the slip road.

Luckily there was road work and we fell just inside the free recovery, so was picked up within 30 minutes and dropped off 250m into the services for a rapid charge.

I wont be making that mistake again, although I really don't like the fact that from around 5 miles/5% ish the car gives you absolutely no way of knowing how low you are. Surely the battery % could still show."
253,0,2022-06-20,"...

CASE RESOLVED!

Took the car on the motorway on Saturday - Same problem.

Decided to use the travel assist feature.

Pressed the travel assist button at which point the display said ‘ACC deactivated’. Thought that was strange. Pressed it again, same response. Car would not switch on travel assist feature. Just kept saying ‘ACC deactivated’.

So I then pressed the 0/1 cruise control button. Car seemed to turn off cruise control (it was not even on).

Pressed travel assist button again and this time it worked okay. Pressed it again and it switched off okay.

Thought that seemed like a glitch so tried the car in e-mode again, and this time it worked as normal!

Used the car all weekend and everything works fine.

Seems like some of these models may be suffering from glitches after charging so recommend if you have an issue, try using the features/pressing all the buttons to see if it helps reset anything.

Cheers for your help!

Ben"
1902,0,2018-01-16,"a) Have you tried via the internet website from a laptop etc ( or laptop )--- and not via the app ? 

b) bear with me on this one:
i) go to car, sit in, turn on the ignition, in the centre console system go to CAR, settings, units and change to km so the speedo, trip, total-Odo etc read in km. Count to ten ( trust me). 
ii) as you then turn off the ignition, note the Odo km reading 
iii) go back gain to car net registration , and enter the km reading number you took in (ii) 
see if that works.

Something to do with some cars needing to send to VW a km reading, rather than in miles via the built in SIM. 
Turning the ignition off seems to trigger a data refresh send to the VM carnet server."
2160,0,2017-05-30,"...

I don't really like the emphasis on time manager as that was never my main function. To be fair this morning it managed to correctly pull out my first appointment for the day and provide a route for it, which is better than Google is doing on its own at the moment. I have Composition Media so my only car navigation is Android Auto. Strangely when I select ""Start Navigation"" at the bottom of the route screen it opens my backup offline navigation ""HereWeGo"" which has no defaults set rather than Google maps which is set as the default navigation on my phone. It could be useful if they sorted that out.

My phone suggested I force close the app today though as it was using 1.46% of battery an hour. I have a 3600mAh battery so that is quite a lot for one app. Something to keep an eye on if you are using it."
250,0,2022-06-17,"Assuming the Arteon is the same as the Golf and Passat GTEs (it sounds like it is) the 12v battery charges from the HV battery.

Some EVs have issues with the 12v battery not charging properly, the GTE is not typically one of them. If the 12v battery were flat you would most likely get lots of random alarms. You aren't, so it isn't 🙂 

Separate to charge level the 12V battery powers the various 'computers' that control the car. Whilst these go into a 'sleep' mode when you turn off the ignition they do not all switch off completely. It is possible that something has got corrupted, and disconnecting the 12v battery does a 'cold start' on the system and clears it.

Equally it is possible that a sensor or sensors have gone out of tolerance in such a way that the car thinks the ICE needs to run when it doesn't. You would hope that this would trigger a fault code, but depending on the failure mode and extent of the failure not necessarily."
2557,0,2016-03-26,"Don't know if it was stated anywhere, but when you're logged in the top line before the mileage etc reads (for me): ""Term of contract: active until 08 March 2019""

To be honest, after only a month of owning the car, I know for sure I won't be renewing the service if they ask money for it as it's so unreliable. It can easily take 3 minutes to log on, a minute to respond to each action and even then they usually fail requiring you to refresh and try again. I'd hoped it'd be something I'd be able to use whilst eating breakfast to make sure the car was warm, but it's usually quicker to go outside, open up the car and set a timer for 5 minutes time.

I guess they put all their good engineers on making emissions cheat devices. "
1506,0,2018-11-19,"Here' s a test for the quality as opposed to excitement of a car interior: drive down a dark country road that has no lighting, use the 'dark' button so all interior lighting is blacked out and night vision is preserved and all distractions are removed ( usually a dimmed speed reading is the exception). Now try adjusting comfort items (interior air flow, temperature, seat heating etc), vision items such as mirrors, demisting, wipers, controls such as autogearbox mode, etc. If all of the above cannot be done by touch alone, or possibly voice control, your car interior is poorly designed."
2305,0,2017-02-21,"Alarm powers down after after a period of time; can't remember if it's 24 or 48 hours, active in the background but the LED in the door stops flashing. 
Intelligent power management system also preserves any undue drain. If leaving the car locked; if not left in a locked garage, only option I can remember is the motion sensors; button on drivers B piller; but unsure how much current draw would be saved by deactivating this.
A little work with a multi meter would need to prove if it's worth saving.
Definitely do not disconnect the 12v battery; it would cause no end of issues."
2685,0,2015-09-21,"Mine is some sort of Bhangra (Nimma Nimma, feat. Jaspreet Jasz) which is part of a compilation album! It is driving me nuts!

Looks like there are a couple of options.


Throw your iPhone out the window! - Not too practical.
Let the song finish playing, make sure it is not on repeat, it will then go to the next track
Go into settings and turn off mobile data for Music, this would work if you keep your music in the cloud rather than on the phone. settings / mobile / Use Mobile Data For / turn off Music
Have just thought, if your car is on the drive and your phone can get your wifi signal then it might still download the track from the cloud because you are not using mobile data!"
2919,0,2015-05-22,"Mine has activated a couple of times.

I also set the ACC in slow moving start/stop traffic and it would bring the car to a stop and then start as the traffic moved off again. I was reading a book, eating a sandwich, taking a phone call and facing the wrong direction to talk to my kids whilst playing with the settings on the infotainment system and didn't really have much time to look at the road, so this was really useful!

PS. Just joking about this last bit, but as someone who cycles through London rush hour each day that is pretty much what I get to see drivers doing every day!"
230,0,2022-06-16,"...

Not the initial tank of fuel but it has been the same tank for a while (1400 miles or so).
I basically use the electric motor most days and fire up the ICE about once a week when I take a journey that runs the battery low. Have also done about 300 motorway miles earlier this month which used the ICE for a long period of time.

Petrol tank has about a quarter tank left so not sure if that has anything to do with it?

Also the engine runs until you stop the car (at traffic lights) at which point it shuts off. Then I've been switching it back to emode which stationary. At which point I pull off from the lights (no heavy load just very gentle acceleration). It then fires up and switches back to hybrid mode again? Has never done anything like this before?"
2175,0,2017-08-01,"...

An update should be so; functionality improved upon; last downgrade was poor, visually appealing at first, functions less than before.
Do VW really think this is acceptable?
Unsure if newer GTE models using this app get more functionality, certainly not in my case!
Whole point of electric consumption against petrol consumption is to drive emissions reductions and efficiency gains; this is why it would be great if these figures were available.
Given we will at some point get some loss of electrons from the battery pack; shying away from hiding this information directly from easily accessible apps will not stop anyone with a VCDS cable though!!!"
705,0,2019-07-10,"My Carnet app on my Android devices changed to WeConnect without me doing anything. Cue Puzzlement.
Having sorted out what must have happened, I tried logging in. No joy. It refused my password. After a few more goes, I ended up following the 'Forgotten your Password?' route. Put in exactly the same password, which was accepted OK, and entered the app. NO data showing at all. Everything says 'This onlinie service has expired. The services will be made available in the app again once you have renewed them'.
What does this mean? Has a subscription run out? How will I know? Can anyone help, please?
Car first registered in March 2016.
Thanks
Silverback"
2364,0,2016-12-13,"@Todor Depends what phone you are using. iPhone seems more difficult from what I've read ..
It seems the IrMC Bluetooth profile supports the image transfer .. and some phones don't support (or tell the HU they support it, only report PBAP and Handsfree).

Having said that my 2 Android phones still don't show contact images at the moment, although I do plan to try this when I get chance ..
GolfGTIforum.co.uk - An independent forum for Volkswagen Golf GTI enthusiasts.
OR an APP that may improve IrMC support .. Bluetooth Phonebook

The Android Auto / Apple CarPlay should work perfectly as these are direct screen rendering from the phone itself."
1679,0,2018-04-05,"Some niceties, but anyone with e models don’t get as much functionality as those with petrol or diesel ICE’s get more info; no electric consumption, range etc.
Only real gain is 12v support battery status, parking location, driving styles, etc.
I tried it for a few days late last year but removed dongle due to it being temperamental in connecting to my phone; you need to keep app open or remember to open prior to switching on ignition, otherwise it serves no gain.
I actually plugged the data plug back in last week, seems to be connecting each time ok; giving it another try."
1723,0,2018-06-11,"Most VW group cars can connect to Samsungs using the rSAP blutetooth protocol - you might see ""remote"" on the screen or in the bluetooth settings. This lets the car act as if IT has the SIM, so your phone becomes unconnected to the mobile network. If your car can spit out a wifi hotspot (using its ""hijacked"" data), you can use the phone for apps and calling/messaging apps that use wifi.

When your phone then sends streamed music back to the car it becomes surreal like ""Inception"".

Problem comes where any texts received while in rSAP mode reside in the car.

This is old tech which only Samsung usefully retains, but it may be related to your problem."
2334,0,2017-02-01,"Hi @Simon hvt 

I did get the carnet sorted once Id spoke to the team on the phone, there were two in the office and between them had my comms up and running and doing everything it should do.
Have had a few issues since with the last one that I think caused issues to possibly all end users a problem with the system being down for a good few days which was all down to site maintenance that took longer than they expected. 

I use the service much, mostly to keep an eye on the charge levels and for pre heating, I think its a great to have the ability to do this. 

Bri"
746,0,2019-10-31,"You would think that they would put up a message on the App and the Online portal that they are having problems. Communication! So much for connected services.

Was working well until recently, they had to mess with it.

The VW Carnet page should say: Expect frequent service disruption, cannot always be relied upon.

Response I got from the Carnet team this morning.

Please be aware that currently neither the We Connect application nor the web portal are available due to ongoing technical difficulties. Our technical team is aware of the issue and working hard to restore your services.

We deeply apologize for the inconvenience and would like to thank you for your understanding."
2357,0,2017-01-24,"Nothing in the way of email or such as confirmation but back with car-net comms for me, though I seem to be missing this mornings journey.
This does mean however, I can now defrost early again, so just in time for the temperature drop I'm expecting which, as I'm sure as with yours is killing my range 

I hope to continue to use the service even after my goodwill period as keeping in touch with the car helps me plan my use of time better. Would be nice to have more features, maybe to come?

Bri"
1695,0,2017-12-27,"Well, after 5 days of no updates at all and then phoning VW, I get into the car to see this:









The car/location pin have been missing for the last 5 days. So I fired up the app and guess what, it's connected! Pre-heating from the app etc. now work and the car reports it's real location/charge state instead of the state on 22nd Dec.

Whether VW fixed this (seems unlikely given it was less than an hour since I called) or it's a massive coincidence, I'm not sure; but let's see how long it lasts!"
1582,0,2018-08-09,"All of the above, although I currently can't use the app anyway. I've recently noticed that the in-car features don't always work either i.e. connecting the car to phone hotspot. The WiFi symbol implies it's connected but when you go into carnet from the menu system it says no internet connection.

Everything is intermittent. At this moment, everything currently works but it usually only lasts about a week before it stops working and I have to remove the car from my carnet account and re-add it to get it working again."
160,0,2022-01-16,"It uses two gears only it has had the rest programmed out apparently. There is also a kickdown that gives full power (pressing pedal beyond resistance gives 100% power ) usual use is about 70%. 
It is just the way the drive is transferred through gearbox is delayed I dislike, no such issues in other brand autos I thought the instant torque of electric motor would be better than previous ice auto. Maybe I am being too critical lol"
2180,0,2017-08-01,"Thanks for the link. I had a look and I can't seem to solve it.

I have a Sony Xperia z5 on version 7.1.1. Bluetooth is on and volume is up (clearly because the Waze announcements are coming through on it). I can play music stored on my phone through the car speakers and the volume turns down every time there is a Waze announcement on the phone, which is a plus I suppose. But I rarely use my phone for music so doesn't help that much.

Guess it's a glitch somewhere. I don't mind anyway, I can make do without it."
2201,0,2017-07-03,"The carnet has its own control unit with its own SIM card. The app connect is where you plug your phone in via the USB in the compartment in front of the gear lever, then press the menu button then app connect and you should then be able use some functions of your phone in the radio. Text messages are good as they get read out to you and then you can dictate a reply and send it. If you didn't have nave you could have used the maps on your phone on the radio screen."
2161,0,2017-05-30,"Not yet a lover of the iOS new Car-net app format.
It would be great if there was a user GUI element as like the web version where you can configure the layout to your own liking; much like the new super fandango instrument cluster that you can delete at no cost!
As others have commented; the lighter background will have an effect on better battery drain on our devices, even thought the new app is fresher looking; just not as functional as we've all been used to for the last 18 months or so."
409,0,2022-02-07,"The We Connect App is down this morning, and you can't log in. Despite resetting my password etc, I still couldn't log in, so I contacted VW customer services. They confirmed that they had a systems outage, which they had now fixed, but it was going to take some time for services to start working again.
There is no ""service status"" or message to let you know that their systems are down though - it would be very helpful if they had something in place for this, otherwise you end up wasting a lot of time trying to get it to work."
161,0,2022-01-16,"...

It will still have the instant torque of an electric motor, it’s just that it will be masked by the gearbox.

The DSG gearbox is actually a pretty good box, but I’m not sure why they’ve used it in this application.

The DSG gearbox can be a bit dimwitted/slower if you’re requesting a gear different to that which has been pre-selected, ie you’re in 3rd, the gearbox map will pre-select 4th but if you request 2nd it has to to undo the pre-selection and there’s a delay.

Sounds like they’ve taken a good gearbox and by using it the way they are, have somehow made it worse."
400,0,2022-04-11,"It's difficult to work out. Probably poor data. 

I find quite regularly that I have my car set to show average economy since start. But sometimes it will revert to the previous journey I've done if it wasn't too long ago. 

The same when you shut the car off and it shows distance travelled and it might show 10 miles even though I've only done two, but done 8 earlier in the day. Almost like it takes an age to fully shut down and it registers a previous journey."
785,0,2020-03-30,"My old GTE did this, and a few others on here had the same IIRC, except mine hit the road. 

My replacement eBay sourced mirror glass came with 3M double sided sticky foam on the back, just peeled it and stuck it to the flat black plastic mirror holder. 

It’s the black plastic bit that’s heated, and it cleared just as quick as the OEM nearside mirror glass, which as you’ve found is just stuck on anyway."
1938,0,2017-11-30,"...

Just tried updating my Android App .. Cr*pNet seems working fine. Although interestingly the Android App now complains about my rooted phone (that I've had since 2013) .. although does let you start. I hate the way more and more Apps are doing that these days .. perhaps next VW Cr*pNet update will stop my phone altogether!! 

Oh, and for us MY17 or earlier, then we don't get the PETROL RANGE shown .. only EV. And still no HORN / LIGHTS CONTROL .. or EV USEAGE or TRACKER geofencing etc. "
2225,0,2017-06-17,"I tried calling VW CC; told to try password reset also a few hours ago; never yet received any email; but upon trying Car-net again, all is ok again; so have to guess servers down or an update at VW's end.
It would be great if when a service is down, support can make some form of information available to save peoples time!"
2955,0,2015-03-03,"Full information to follow. Some key facts from VW about Sport Coupé Concept GTE:


The Sport Coupé Concept GTE is the champion of a new progressive Volkswagen design language.
Concept combines exclusive sports car design with four-door body concept and large boot lid.
Sport Coupé Concept GTE is positioned above today's Volkswagen CC.
Coupé is 4,870 mm long; wheelbase is a generous 2,841 mm which maximises interior length.
Active Info Display (digital main instrument) offers three- dimensional graphic in a new high-end quality.
Optionally, the navigation system can incorporate biometric data from the driver to calculate route recommendations.
Sport Coupé Concept GTE utilises a plug-in hybrid drive - (TSI plus two electric motors) with a system power of 380 PS.
Coupé with top speed of 250 km/h can be driven at least 50 kilometres in the all-electric E-mode.
In GTE mode, the Sport Coupé Concept GTE accelerates to 100 km/h in just 5.0 seconds.
Innovative all-wheel drive via electric propshaft. 
Lots of images in the media gallery now too:





  








VW Sport Coupe Concept GTE





Paul



Mar 3, 2015




VW Sport Coupé Concept GTE, March 2015




"
2170,0,2017-06-09,"...

Are you seeing just a blue blob? That's you....your placement ......zoom out until you see the red car pin ....

Why on earth the default is where you are, and not where the car is, I don't get either.
Most days I do tend to know where I am.
However knowing where the car is, i.e. has the other driver left ( or got ) to where they are, or knowing how far away it is from me, is far more useful as default.

Best would be a default view zoomed out to both blue me and red car -- although best best I think is charging state over geo-placement."
2876,0,2015-06-01,"Mine doesn't have that footer, but says

""The following requirements need to be met to use Volkswagen Car Net

- The infotainment system to be connected with a suitable mobile telephone via the Bluetooth profile rSAP

- OR there is a suitable SIM card in the SIM card reader

- An internet connection has been configured in the Network setup menu""

Why don't they just say ""requires premium phone connection""...?"
1188,0,2018-12-23,"...

Maybe I don't so you can point out which of my statements was wrong;-
1. Pilots get a chance to set configurations on their systems for 10 seconds at a time whilst in flight.
2. There are no bends and junctions during a flight.
3. You have radio traffic control.
4. You operate in 3 dimensions.
5. You don't have to brake to a stop at junctions and behind queues of traffic or accelerate to merge with traffic."
2306,0,2017-02-22,"Thanks for that input guys. Interesting about alarm LED also.
I used to have to lock my previous car by pressing the drivers door lock button leaning over from passenger side - that locked all doors without setting the alarm.
At times I had an intermittent fault with the alarm going off for some unknown reason."
2157,0,2017-05-30,"I've had this also on iOS and agree the previous layout appeared more intuitive although this could just be that it's new.

One thing I don't understand is the emphasis on the time manager. This would be great if you could remote send to the car but unless I'm missing something this is not possible (even though the update says you can send to the navigation system). It would be easier to just open maps on the phone/tablet."
1969,0,2017-11-01,"To be honest I thought that's the brakes groaning.

I say that because I have heard something at full lock of the steering wheel (can't remember if it is right or left turn though). But I hear a similar sound when fully stopped and operating the steering wheel. So, my conclusion: brakes.

But it could be the power steering as you say, because it will have a very high load operating in a non-moving car."
2202,0,2017-07-03,"Is the car net control unit visible or tucked away somewhere? Presumably it must be accessible to get at the SIM card. 

I've used app connect a few times but there aren't many useful apps that are compatible, unless I just haven't found them yet.

As a side issue, how do you dictate a reply to a text message? I can read/hear them fine but couldn't see an obvious dictation button."
2173,0,2017-06-22,I've just downloaded the Trip Statistics from the Car-Net website and noticed that the Distance Covered is now shown in compete miles - previously it showed several decimal places (perhaps converted from kms). Also the sum of the distances is significantly less than the car is showing for the same date range - does it track distance by GPS? I know that the speedometer reading is a percentage higher than a GPS reading.
2362,0,2016-12-11,"I have a non-Nav GTE so can't comment on Discover Pro. In CMS I have not seen pictures displayed in the VW phone section.

However when I use Android Auto to phone pictures are displayed nicely. It also works well as I can use the Google voice control to find and call the contact."
2959,0,2015-02-22,"...

Thanks. The manual does say start at the Media menu. I thought I'd worked through every menu though and just tried what you suggested... my ""system setup"" menu goes straight from Bluetooth to System Information, the WLAN and Network options just aren't there.

Did you add a SIM to the device for data?"
2172,0,2017-06-15,"I had both the blue dot and red car in the same place, even though the car was physically 20 miles away. Rebooting my phone has sorted the issue though and now showing correctly.
@gladini I agree, having the default location shown as you and having to scroll down and select the car location is the wrong way round."
2371,0,2017-01-05,"Both phones have Android 6 Marshmallow, but your link provides some interesting reading. It is possible that Google messed up, but the strange thing is how/why the non-nexus device manages better in this regard... 

Anyway, for me it is just another proof that I have made a good choice for a new phone at the moment "
721,0,2019-09-02,"I am finding that the whole new Car-Net aka We Connect is rather unreliable:
1. Access via a website often fails
2. Using the iOS app has had a number of times when the data is just wrong: unlocked when locked; GOM and SOC figures wrong. 

Any one else with these issues?"
687,0,2020-08-05,"My experience with the VW apps was similar. I had a Passat GTE for two years from March 2017 and I had constant problems with it and a virtually continuous correspondence string with their so-called support people. At one stage it lost all my data, which was supposed to be backed up at their end, and they were unable to restore it. Overall score 1 out of 10, or virtually useless."
285,0,2022-09-26,"...

I see signs like this on the A75, and yes my ID3 only sees the 40 part and slows my car down. On the A75 there are also countdown signs for an impending 30mph limit and the ID3 sees and reacts to the 30 part so slows 300 to 30mph 300 yards away from the actual limit.









I basically don't use the ACC on that road, but I could just turn off the sign recognition. Must try that next time."
2346,0,2017-01-22,"It's been intermittent for me. The GOM info seems correct, but cannot control the A/C, and mostly says the ""charging plug not connected"" when it plainly is! 
It's been like this for a few days now ..

So seems like info sent from the car is making it's way to the VW server, but no A/C control info makes it back .. (So they've broken something)."
740,0,2019-10-30,"SInce the server outage 2 weeks ago, for me the system has been unstable.
Prior to this it was reliable,









Car Net.....


Anyone else having issues with Carnet? No access via Web portal or Mobile App? Was working good until the last mobile app update.




www.speakev.com





Do any of the other EV brands have App/Server issues, or is it just VW, any one know?"
1869,0,2018-03-05,"Are you getting confused with carnet via the built in SIM, for eManager etc, and the other internet based functions which require a driver provided internet connection (such as mobile phone wire or tether , home wifi signal nearby ) ? 

I think the WAN icon is the second thing"
1870,0,2018-03-05,"Are you getting confused with carnet via the built in SIM, for eManager etc, and the other internet based functions which require a driver provided internet connection (such as mobile phone wire or tether , home wifi signal nearby ) ? 

I think the WAN icon is the second thing"
1871,0,2018-03-05,"Are you getting confused with carnet via the built in SIM, for eManager etc, and the other internet based functions which require a driver provided internet connection (such as mobile phone wire or tether , home wifi signal nearby ) ? 

I think the WAN icon is the second thing"
1908,0,2018-01-17,"...


Not sure what you mean "" have an icon"" -- are you expecting to use CarNet functions, from within the car ? 

If that's what you mean, no, you use the eManager subsection of the CAR menu 
Press CAR, then second icon along the bottom of the screen from the left. 
Which of course, look nothing like the setup of the CarNet app or website functions. 

But eManager is where you set up charging options, functions, and Timers."
2326,0,2017-02-02,"Sound about similar for this time of year. 
Note I think the steady state ""fully warm"" temp is around a display number of 90-92. 
ie drive 20-30mins along a motorway and this is what it settles at. 

So 50 is the first number the display shows, it's not the working best temp.
You could be sold that at 50 the engine is not at its most economical running temperature. 

It's why journeys of battery-range plus 2-4 miles are so so painful, as you know the ICE has to be used but will be burning more fuel than you'd like. Even if you kick it in on purpose for the middle 4-5 for example, trying to then reach destination on the last lot of electrons."
