,manual,Original_Comment
0,-,The new one sucks very hard to work on and cost a bundle for parts. Modern times are the worst.
1,=,Oh for the Morris minor
2,-,"imagine being set on ""owning a Chevy EV.""  i suspect someone like that is quite the mouth breather"
3,=,Parts are made in china..but India wants them to make in India itself..
4,=,"Why, why, why do reviewers always test the top of the range hybrid models, which will sell in much lower numbers than other models. The hybrid makes no sense at all if you do a lot of long journeys."
5,+,"Nice job guys.  Glad this vehicle speaks to your generation.  Gotta agree with the old guys, Not a fan of the Haptic Touch controls.  Keep up the good work."
6,=,"My nine year old Nissan Note is getting old and will need to be replaced around 2025/2026, this could be just the car. It is just a bit shorter than the Note and it has a lot of space for putting things, such as my cats' huge cat basket. It will have to compete with other contenders such as the Tesla 2 and electric Nissan Micra. One of the main issues will be range, 250 miles and above would be practical."
7,+,Suhani will really impressed ðŸ˜
8,=,"""Engine start"" haha. They couldnâ€™t change the text from ice cars."
9,-,"I'd own the VW if they came to Canada.

Never mind. It's too slow."
10,=,"Hey Christian Slater called, he wants his voice back"
11,=,"I think the word Lewis is trying to say is ""conservative"". That is classic VW."
12,=,Doug is the type of guy to use half of the alphabet in the word 'this'
13,-,This would be my perfect car if the interior wasn't so stupid. Vw needs to go back a generation with their interiors. The software they use currently is so bad
14,-,"Really forward thinking. As a start, VW, bring the ID.3 to the US....the ID.4 is too family oriented for younger drivers. We need more fun cars. ID2/3 GTI?"
15,=,So 4 of them would be as powerful as a Bugatti ?
16,+,that is sick
17,=,The camera angle making the A pillar look oversized? Or itâ€™s really that big?
18,=,gemera means give more in swedish how do i know well im swedish
19,=,"Real question, what happens when you have an accident and somehow the hydrogen catches a light? Wouldn't that be really dangerous?"
20,=,Is it for sale now?
21,=,Why is the minion tied up ðŸ˜§
22,-,Spews a heap of fuel out the exhaust.. use it to make flame's out the exhaust system lol
23,=,"Tesla is asking for duty exemption for its cars. If government allows that than other brands will also ask the govt for exemption. We are already having Tata motors and Hyundai, which are manufacturing their electric vehicles. Now Tesla demands royal treatment for themselves which can not be done. Even Mercedes announced its EVs assembly in India. Are they unaware of Indian market."
24,-,"Sell it or use it as a local city use car, and not a road trip car. And only charge it at home

Kind of ironic, what's the use if an off road vehicle when using it out in the middle of nowhere leaves u stranded cause chargers and to be trusted and relied upon

Clearly non tesla cars didn't think of all this and just assumed everyone will charge at home

Or just petition tesla to offer non tesla cars charging for a 100$ per month subscription that doesn't include cost of charging

If tesla does that their stock will go to the moon

Bro with a gas off road vehicle u can carry extra Jerry cans of gas, you can go to a gas station anywhere u like, fill up in 2 minutes. This entire vehicle is useless for its intended purpose

And get a towing subscription service that's nation wide with alot of miles for free included so if any of u cars need a tow it's free bud"
25,=,I wonder how many miles one of these motors is rated for.
26,-,i dont like this cars.this is  robots
27,=,"Sir, what about ""lexus""cars"
28,+,"What a beautiful work. I've got a beetle, here in brazil we call them ""fusca"" (it's pronunced fooska). It's a brave and simple car."
29,-,"While I love Tesla, fully electric vehicles have no place in Europe due to weather. We could see as an example over last few weeks we had a little bit of frost here in the UK and the disasster happened. All of the sudden the range of all EVs dropped by 75% due to cold weather. With the range of 65 miles when fully charged, your chance of getting to work are very slim."
30,+,"kinda like vtec with the larger cam-lobes at higher rpm.... but look at nissans VVEL system first tested and proven on the 370z for the intake valve train where electronic actuators continuously adjust valve lift(how much the valve opens), nissan used it later on the 5.6 v8 in the QX56 also and that system is now in the new TITAN v8 on the intake and exhaust valve trains giving it more power and fuel efficiency...."
31,-,VW Never sold a pick up in the US? You need to do more research prior to making videos.
32,+,"Tesla UK are also discounting new Model 3 cars by around Â£2000. Â£38,790 for a rear wheel drive new white Model 3. 305 mile range WLPT."
33,=,"Strad: itâ€™s so cold at 0 Celsius 
Me in Canada where itâ€™s -20 Celsius:"
34,+,waooo nice car and u are so beautiful
35,-,EVs were always a scam.
36,=,Hopefully none of them are fitted with winter tires
37,-,Good luck finding a charging station powerful enough to charge it to 80% in 18 min.
38,-,The interior is awful
39,=,Now how r u gonna send this to me
40,=,Good review but with all these reviews no price is never mentioned.
41,+,2 years you will be waiting for one
42,-,Too bad french car brands are as reliable as a wet tissue and their value is demolished after a short time.
