,Comment_id,Post_id,Author,Date,Comment_Content,Net_Likes,Reply_id
0,3414042,0,57217,"Apr 4, 2023","

ophone said:



I haven't seen my 500e yet although it stands at the dealership's basement for more than a month now. The car is already registered to my name and I paid the annual tax.
There has been a callback for the batch my car was part of. The dealer can't tell me why because Fiat wouldn't even disclose the exact problem to him.
All Fiat says is it'll send technicians to take care of the problem. If the technicians sent from Turin are currently touring Europe, all I'm left to do is wait.

Click to expand...

Difficult isnt it? You want the car but are scared it might be a lemon I expect? Shame you dont have a friend who is a solicitor, as a letter from them might gee them up and let you know what the issue is",0,None
1,3414099,0,112918,"Apr 4, 2023","I could contact the EU consumer's rights office as the problem seems to come from Fiat itself.
In a German forum an Austrian user has the same issue, there the dealer doesn't get informed either where the exact problem lies.
My dealer told me they had several 500e standing in the basement, which take up space while their customers wait to lay hand on as long as I do.
As you say, I wouldn't like to get a car with perpetual issues.",0,None
2,3414111,0,92196,"Apr 4, 2023","@ophone 

Honestly....I wouldn't buy Fiat of any kind.... Just saying...",0,None
3,3414447,0,112918,"Apr 4, 2023","@Padrino
Doesn't fit with what stands in your signature though. 
Unless there's an electric Ferrari or Lamborghini.",3,None
4,3414456,0,83879,"Apr 4, 2023","Fix
It
Again
Tony.

",0,None
5,3414497,0,107349,"Apr 4, 2023","

Padrino said:



@ophone

Honestly....I wouldn't buy Fiat of any kind.... Just saying...

Click to expand...

I bought a brand new Fiat Panda in 2005, about 3 months after a friend bought a brand new VW Golf. In the nearly 3 years I owned the Panda, nothing went wrong - except the brake discs rusting after I parked in torrential rain and left it alone for 3 weeks. 

My friend's Golf was in and out of the garage several times, a couple of times due to the fancy dual clutch automatic gearbox, DSG I think, which wasn't paired well with the 1.9 diesel and would sometimes stall (how do you stall without a clutch pedal?!), fanbelt failing after only 8000 miles, several times due to electrical issues, like the drivers window going down, but not up, brake light bulbs blowing 3 weeks after replacement, refusing to start without any indication as to why - the AA man said the battery was fine. Interestingly he's had the same problem with his current Skoda Kamiq. 

So, whilst we all know VWs are much better built than Fiats, my experience is the opposite.",2,3414111
6,3414560,0,8167,"Apr 5, 2023","

Rbrian said:



So, whilst we all know VWs are much better built than Fiats, my experience is the opposite.

Click to expand...

I have a Fiat Panda Cross first registered in October 2008, which I acquired around October 2011.
Overall it's been an excellent car for what it is and proves very useful harrowing fields and grading the riding arena, for example. The lacquer coat over the paint has failed quite badly and I'm currently trying to find a replacement door seal for it, but it's at about 150,000 miles and soldiering on. I'm hoping I'll be able to get an EV replacement for it soon, but so far no-one has released a small 4x4 EV that would make a suitable replacement. Unlike the Audi A2 we had when we first got the Panda, we've not had any major failures (the Audi clutch failed at vast expense).",1,3414497
7,3414565,0,112918,"Apr 5, 2023","

Tandy0 said:



Fix
It
Again
Tony.



Click to expand...

In German they say:
Fehler
In
Allen
Teilen
(Flaws in every part)",1,3414456
8,3414596,0,107349,"Apr 5, 2023","

jmacneil said:



I have a Fiat Panda Cross first registered in October 2008, which I acquired around October 2011.
Overall it's been an excellent car for what it is and proves very useful harrowing fields and grading the riding arena, for example. The lacquer coat over the paint has failed quite badly and I'm currently trying to find a replacement door seal for it, but it's at about 150,000 miles and soldiering on. I'm hoping I'll be able to get an EV replacement for it soon, but so far no-one has released a small 4x4 EV that would make a suitable replacement. Unlike the Audi A2 we had when we first got the Panda, we've not had any major failures (the Audi clutch failed at vast expense).

Click to expand...

A new Panda is coming - but it doesn't look suitable for off-road use. Next-gen 2024 Fiat Panda Electric could be an ideal second car 

If you can wait a few more years, perhaps an electric Suzuki Jimny would be suitable? Confirmed: Suzuki is working on an all-electric Jimny for Europe!",0,3414560
9,3414660,0,8167,"Apr 5, 2023","

Rbrian said:



A new Panda is coming - but it doesn't look suitable for off-road use. Next-gen 2024 Fiat Panda Electric could be an ideal second car

If you can wait a few more years, perhaps an electric Suzuki Jimny would be suitable? Confirmed: Suzuki is working on an all-electric Jimny for Europe!

Click to expand...

I have some hope they'll produce a ""Cross"" or at least 4x4 version of the new Panda - thoughmight be a year or two after the initial release. Or the EV Jimny might do the job, as you say. There are one or two other possibilities - here's hoping one of them at least comes along before our old Panda Cross finally has to be retired.",0,3414596
10,3414760,0,107349,"Apr 5, 2023","

jmacneil said:



I have some hope they'll produce a ""Cross"" or at least 4x4 version of the new Panda - thoughmight be a year or two after the initial release. Or the EV Jimny might do the job, as you say. There are one or two other possibilities - here's hoping one of them at least comes along before our old Panda Cross finally has to be retired.

Click to expand...

The Renault 4EVER might work, if the Trophy concept is made. It won't be cheap though. Renault 4EVER Trophy (2022) : la mythique 4L devient un petit SUV électrique tout-terrain",1,3414660
11,3414783,0,1439,"Apr 5, 2023","

ophone said:



I haven't seen my 500e yet although it stands at the dealership's basement for more than a month now. The car is already registered to my name and I paid the annual tax.
There has been a callback for the batch my car was part of. The dealer can't tell me why because Fiat wouldn't even disclose the exact problem to him.
All Fiat says is it'll send technicians to take care of the problem. If the technicians sent from Turin are currently touring Europe, all I'm left to do is wait.

Click to expand...

Or reject the car. It is defective.",0,None
12,3415178,0,112918,"Apr 6, 2023","

donald said:



Or reject the car. It is defective.

Click to expand...

First I want to know what the problem is exactly.",0,3414783
13,3415198,0,1439,"Apr 6, 2023","

ophone said:



First I want to know what the problem is exactly.

Click to expand...

As you wish. Your car, your deal.

But under UK legal precedents (not saying those apply to you) if you were to wait for technical work to be done to arrive at some sort of result, this would be considered as being 'accepting the car [with pending faults for repair]' and you would lose your right of rejection.

Either you want the car 'at this point' and are prepared to wait, or you don't want the car. If you are prepared to wait, as you say, all you are left to do is wait. You are 'accepting' the wait.",0,3415178
14,3415410,0,112918,"Apr 6, 2023","I haven't paid the car yet, maybe that makes things look differently.
Edit: Might be a good idea I'd contact the local consumer's union.",0,None
15,3415426,0,541,"Apr 6, 2023","

Rbrian said:



A new Panda is coming - but it doesn't look suitable for off-road use. Next-gen 2024 Fiat Panda Electric could be an ideal second car

If you can wait a few more years, perhaps an electric Suzuki Jimny would be suitable? Confirmed: Suzuki is working on an all-electric Jimny for Europe!

Click to expand...

There’s a mild hybrid Suzuki Ignis too. I’d bite their hand off for an electric version of that or the Panda 4x4.",1,3414596
16,3439211,0,112918,"May 24, 2023","Got the car today.
It's a nice drive, but it's missing an extra option: The semi-autonomous driving.
At least I get a refund for that, I'm not in the mood to wait longer.

Here it is charging the first time it's in my possession:






",3,None
17,3438085,1,85303,"May 22, 2023","I thought the same when the 500e was announced but was disappointed that it was slower, heavier and smaller on the the inside than a BMW i3. I couldn't see where the 15 years of extra development had gone.",0,None
18,3438095,1,53073,"May 22, 2023",I wouldn't be surprised if it sits on the same platform as the Jeep® Avenger,0,None
19,3438322,1,118330,"May 22, 2023","

shikoku14 said:



I wouldn't be surprised if it sits on the same platform as the Jeep® Avenger

Click to expand...

Same platform, same battery, same factory.
An Alfa Romeo variant is also in the works but expected in 2024.

The 600 will also be offered as a hybrid ICE in some markets, like the Avenger.",0,3438095
20,3438972,1,92196,"May 24, 2023","

Splendid Systems said:



The first spy shots are in, launch expected on July 4th.

Should be an instant success.



























FIAT 600 presentatie op 4 juli? | Auto Edizione


Fiat 600 is 'Italiaanse stijlicoon'. Inmiddels is ie redelijk goed te zien geweest, de nieuwe FIAT 600. Het moet gezegd worden, de compacte EV SUV is een



www.autoedizione.nl







https://news.italy24.press/business/520023.html



Click to expand...

 You were the guy the other day telling everyone that the EV are dead and the Toyota Hybrid waiting times are 5 years long 😂😂😂
I think that now is the time for you to decide on what side of the fence you will stand. You either keep trolling (as I've said the other day) or you have split personality..Decision time my friend 😎",0,None
21,3439139,1,98780,"May 24, 2023","

Padrino said:



You were the guy the other day telling everyone that the EV are dead and the Toyota Hybrid waiting times are 5 years long 😂😂😂
I think that now is the time for you to decide on what side of the fence you will stand. You either keep trolling (as I've said the other day) or you have split personality..Decision time my friend 😎

Click to expand...

It's possible there are multiple interns at BP that are sharing the same login ",1,3438972
22,3164217,-1,416,"Jan 18, 2022","Will it be less expensive than a Dacia Spring? 
Even if it isn't the market could use a step up from the Spring. There isn't much choice for small basic EVs as the moment. 

Especially in the UK where we've got a Citoen Ami and nothing else at the moment. Twizy is gone from the Renault GB website. Both are low speed quadracycles. 

Skoda Citigo and Seat Mii are out of production. VW eUP! order book is closed although there are some new ones available. Unclear when (if?) any of these will return to the UK.",2,None
23,3164223,-1,2505,"Jan 18, 2022","Fiat 500e is being offered new at around the £21k-£22k mark.

So it would be cool if the electric Panda (you heard it here first) came in under £20k.",2,None
24,3164247,-1,34297,"Jan 18, 2022","It looks really promising. The Panda has always been good but the Up/Citigo/Mii felt like the sort of thing that Fiat used to be great at - cheap but fun, robust and space-efficient. Love the modular parts and that concept of just clipping your phone to the side of the instrument cluster.

My first few cars were Fiats and I really hope they get their m-o-j-o back under Stellantis.

(edit: is m-o-j-o blocked as a swear word? odd)",3,None
25,3164257,-1,55641,"Jan 18, 2022","I do like the notion of bring- your -own infotainment system. If they can make it work with any smartphone or tablet they have a winner!

The car manufacturer makes the car bit and the entertainment specialists make the entertainment bit and update it with monotonous regularity to their hearts content.

Very practical!",3,None
26,3164260,-1,84466,"Jan 18, 2022","An older article:

Fiat Centoventi electric car: price, specs and release date

Is m-o-j-o blocked as being too similar to the word with the j replaced by a f?",0,None
27,3164274,-1,97879,"Jan 18, 2022","Love it.
Panda is the ultimate people's car so they'll likely make it affordable.
Can't come soon enough.",2,None
28,3164317,-1,2505,"Jan 18, 2022","Oh yeah, it is!

mo-jo",0,None
29,3164318,-1,17185,"Jan 18, 2022","

dk6780 said:



An older article:

Fiat Centoventi electric car: price, specs and release date

Is m-o-j-o blocked as being too similar to the word with the j replaced by a f?

Click to expand...

Mofo you say?… let’s see 😅 fine for me, still have my ****",2,3164260
30,3164326,-1,84466,"Jan 18, 2022","

CHERYLWARD said:



Panda is the ultimate people's car

Click to expand...

Wasn't that Hitler's/Porsche's Beetle?

Rather than save for your Christmas club you bought savings stamps for your car ....







",1,3164274
31,3164331,-1,97616,"Jan 18, 2022","

dk6780 said:



Wasn't that Hitler's/Porsche's Beetle?

Click to expand...

It's a literal translation of 'Volkswagen'. So, yes, but other cars might deserve the sobriquet too.

P.S. Is it possible the swear filter has a typo?",0,3164326
32,3164335,-1,2505,"Jan 18, 2022","Mussolini’s was the Topolino:









Fiat 500 ""Topolino"" - Wikipedia







en.m.wikipedia.org



",0,None
33,3164346,-1,84466,"Jan 18, 2022","At least Pierre Boulanger, the forces behind the Tres Petite Voiture (aka 2CV) was only Vice Chairman of Michelin and worked against Petin and the Vichy regime during the occupation of France in WW2. Still not sure about the reported design brief of :

create a car that can carry four people and 50 kg of potatoes at 60 km/h, while consuming just 3 litres of fuel per 100 km... it should be drivable by a woman or by a learner-driver ... and don't worry about how it looks

It was a long time before ""3 litre"" (93 MPG) cars became a reality.",0,None
34,3164348,-1,2680,"Jan 18, 2022","I love the Panda. We still have a 15 year old 100hp. I would love a Panda EV, and I really hope (but sadly doubt) that they’ll make a 100hp equivalent with sharp handling and a bit more oomph. The combination of size, practicality and fun would be hard to beat.",3,None
