,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
0,Fiat doesn't like transparency,112918,"Apr 4, 2023","I haven't seen my 500e yet although it stands at the dealership's basement for more than a month now. The car is already registered to my name and I paid the annual tax.
There has been a callback for the batch my car was part of. The dealer can't tell me why because Fiat wouldn't even disclose the exact problem to him.
All Fiat says is it'll send technicians to take care of the problem. If the technicians sent from Turin are currently touring Europe, all I'm left to do is wait.",17,1,888
1,Fiat 600e (500X replacement) to be announced in a few weeks,118330,"May 21, 2023","The first spy shots are in, launch expected on July 4th.

Should be an instant success.



























FIAT 600 presentatie op 4 juli? | Auto Edizione


Fiat 600 is 'Italiaanse stijlicoon'. Inmiddels is ie redelijk goed te zien geweest, de nieuwe FIAT 600. Het moet gezegd worden, de compacte EV SUV is een



www.autoedizione.nl







https://news.italy24.press/business/520023.html

",5,0,603
2,FIAT 500e Steering Not as Light as Expected,74132,"Feb 11, 2023","Had a new 500e for two weeks now and was expecting the steering to be lighter, especially at low speed.

A fellow ONTO subscriber has just received his, and is saying the same thing. Also, he has noticed small oil leaks next to each wheel.

What is the procedure for linking the app to the vehicle?

Any comments from existing owners/drivers will be greatly appreciated!",9,0,944
3,4 months so far for replacement body panels and still waiting,79216,"Apr 16, 2023","Our Fiat 500e (red) sustained front body damage on December 31st last year. Car body repairers still waiting for delivery of bonnet and front bumper from Fiat almost 4 months later. Luckily it is still driveable and roadworthy all be it with an unopenable bonnet. If it had been undriveable it would still be off the road. 
Serious delay issues if you have an accident in one of these.",10,0,691
4,Boot space,101780,"May 19, 2023","Odd question, but this feels like the best place to ask it. How long (front to back) is the boot space in a 500 with the rear seats down?

In particular, could I fit a full length (1.5m in its case) portable keyboard in it? It's a bit hefty to carry to a dealer for a fit test. 😀

Thanks in advance for any insight.","5
",0,341
5,Fiat 500e - good first EV?,93528,"Apr 3, 2023","We’re thinking of replacing my wife’s 2011 toyota verso S with an EV as it should suit her low mileage (circa 3k per year). We’re thinking of the fiat 500 electric as the icon 42kWh versions are currently circa £20k used for a 2022 model low mileage (<10k miles).

I thought I’d ask opinions on it and if it’s a good choice.",17,0,1296
6,Anyone had the car just stop in drive mode and not move at all?,105197,"Apr 16, 2022","Hi so I have a 500e icon about a month or so, I was parked in a supermarket yesterday I set off to drive and I got about 3 or 4 feet and the car just stopped, the drive button was still selected but pushing on the accelerator did nothing at all.

I put the car into reverse and it worked and went back into parking space and then I out it into drive and it worked from then on.

Not heard of this happening before",6,0,1750
7,500e google maps muted,107730,"Jan 4, 2023","Hi all

My Google map sat nav has stopped talking to me. Radio etc works fine. Is there a mute function I have accidentally enabled?",,0,485
8,500e as Rental Car - anything to watch for?,85884,"Dec 2, 2022","Hi,
I normally drive a Zoe but it's going off the road today, possibly for some time, for a repair. I've been offered a Fiat 500e as a replacement, It's possibly the 42kWh version, but I don't know if other sizes are available - the garage quoted a 160 mile range but the Fiat website says ""up to 199"".

I'm just wondering if there's any ""gotchas"" about having a different car temporarily, eg.

1. My wife does a 100 mile round trip commute at 60-70mph. Will the car need charged to get back home? At this time of yea our Zoe uses around 40kWh to make that journey.

2. Does the Fiat have standard (type 2) home charging? We have a Zappi at home.

3. Is the Fiat CCS for fast charging?

Anything else we should watch out for?",9,0,1034
9,Fiat 500e intelligent speed assist,97683,"Jul 13, 2021","Do any other 500e drivers have issues with the intelligent speed assist system?, My La Prima seems to identify signs correctly, but after a period of not seeing a sign, it checks the sat nav, and it appears to convert the sat nav speed from km to miles..... So a 30 sat nav signal displays as 20 mph.... 60 as 40mph etc. Lovely car, but this software bug is very annoying, and Fiat does not seem to have any answers!!!",2,0,4103
10,Fiat 500e service in Seattle/Eastside?,115593,"Oct 22, 2022","I had my 2015 Fiat 500e shipped from CA a few years ago.
Still going strong, but would like to have some things looked at.

Are there any places in the Seattle/Eastside area that can service a 500e?

Thanks!!",0,0,502
11,Software updates,25425,"Sep 28, 2022","Dropped the car off to have lots of updates done, took them 2 days, but 1 update failed for the entertainment system. It will have to go back in when they can work out how to do it. 
Anyone else had an issue with the updates ?",3,0,1283
12,500e Key FOB replacement,99856,"Oct 1, 2022","Help!!!

I lost one of my FOBs (left with no spare).
Local dealer price is crazy.
Any ideas about generic replacements?
I searched the net, there are many FOB replacements that you can by and code, problem is you need to know specific frequency (433MHz, etc) and I can't find details about this no where

Thanks",0,0,750
13,What's the maximum power the 500e can handle while charging AC?,112918,"Aug 20, 2022","I can't find anything on that matter on Fiat's site, nor in my buyer's contract, and I'm too impatient now to wait for Monday to get an answer by the salesman.
The noob I am, I thought 85kW would be the maximum for both types of current.",,1,1095
